Country_Code,Country,Region,Year,Indicator_Name,Indicator_Code,Value,Source
BGD,Bangladesh,Asia,2024,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,2.0343847791384,World Bank
BGD,Bangladesh,Asia,2024,GNI per Capita,NY.GNP.PCAP.CD,2820.0,World Bank
BGD,Bangladesh,Asia,2024,Population,SP.POP.TOTL,173562364.0,World Bank
BRA,Brazil,Latin America,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,6.08851003646851,World Bank
BRA,Brazil,Latin America,2018,GNI per Capita,NY.GNP.PCAP.CD,9320.0,World Bank
BRA,Brazil,Latin America,2018,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,4953540000.0,World Bank
BRA,Brazil,Latin America,2018,Population,SP.POP.TOTL,206107261.0,World Bank
BRA,Brazil,Latin America,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.96346998214722,World Bank
BRA,Brazil,Latin America,2019,GNI per Capita,NY.GNP.PCAP.CD,9410.0,World Bank
BRA,Brazil,Latin America,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,14946570000.0,World Bank
BRA,Brazil,Latin America,2019,Population,SP.POP.TOTL,207455459.0,World Bank
BRA,Brazil,Latin America,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.77150011062622,World Bank
BRA,Brazil,Latin America,2020,GNI per Capita,NY.GNP.PCAP.CD,8080.0,World Bank
BRA,Brazil,Latin America,2020,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,6242530000.0,World Bank
BRA,Brazil,Latin America,2020,Population,SP.POP.TOTL,208660842.0,World Bank
BRA,Brazil,Latin America,2021,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.4969801902771,World Bank
BRA,Brazil,Latin America,2021,GNI per Capita,NY.GNP.PCAP.CD,8060.0,World Bank
BRA,Brazil,Latin America,2021,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,3270180000.0,World Bank
BRA,Brazil,Latin America,2021,Population,SP.POP.TOTL,209550294.0,World Bank
